Player,FG,FT,3pts,Assists,Steals,Blocks,Turnovers
Barnes,6,1,0,2,1,0,1
Frye,0,2,0,0,0,0,0
Irving,7,11,1,4,3,1,3
Jones,0,0,0,0,0,0,0
Jones,0,0,0,0,0,0,0
James,9,3,2,9,2,1,4
Smith,1,0,1,1,0,1,1
Williams,0,0,0,0,1,0,1
Curry,4,0,3,6,0,0,5
Ezeli,1,0,0,0,1,0,0
Barbosa,5,0,1,0,0,0,0
Iguodala,5,0,2,6,1,1,0
Speights,0,0,0,0,0,0,0
Varejao,0,0,0,1,0,0,0
Rush,0,0,0,0,1,0,0
Thompson,5,0,0,0,0,1,0
Dellavedova,1,0,0,1,0,0,1
Shumpert,1,0,1,0,0,0,1
Jefferson,1,1,0,0,0,0,0
Thompson,4,0,1,2,0,2,0
Bogut,5,0,0,2,0,0,0
Mozgov,0,0,0,0,0,1,0
Green,5,4,2,7,4,1,3
Clark,0,0,0,0,0,0,1
Livingston,8,4,0,3,1,0,0
Love,7,1,2,2,1,0,4
